Location,Region,Subregion,Rate,Count,Year
Afghanistan,Asia,Southern Asia,6.7,2474,2018
Albania,Europe,Southern Europe,2.1,61,2020
Algeria,Africa,Northern Africa,1.3,580,2020
Andorra,Europe,Southern Europe,2.6,2,2020
Angola,Africa,Middle Africa,4.8,1217,2012
Anguilla,Americas,Caribbean,28.3,4,2014
Antigua and Barbuda,Americas,Caribbean,9.2,9,2020
Argentina,Americas,South America,5.3,2416,2020
Armenia,Asia,Western Asia,1.8,52,2020
Aruba,Americas,Caribbean,1.9,2,2014
Australia,Oceania,"Australia, New Zealand",0.9,221,2020
Austria,Europe,Western Europe,0.7,65,2020
Azerbaijan,Asia,Western Asia,2.3,230,2020
Bahamas,Americas,Caribbean,18.6,73,2020
Bahrain,Asia,Western Asia,0.1,2,2019
Bangladesh,Asia,Southern Asia,2.4,3830,2018
Barbados,Americas,Caribbean,14.3,41,2020
Belarus,Europe,Eastern Europe,2.4,225,2019
Belgium,Europe,Western Europe,1.7,193,2017
Belize,Americas,Central America,25.7,102,2020
Benin,Africa,Western Africa,1.1,126,2017
Bermuda,Americas,Northern America,0,0,2019
Bhutan,Asia,Southern Asia,2.5,19,2020
Bolivia,Americas,South America,7,806,2019
Bosnia and Herzegovina,Europe,Southern Europe,1.3,43,2020
Botswana,Africa,Southern Africa,15.2,303,2010
Brazil,Americas,South America,22.5,47722,2020
British Virgin Islands,Americas,Caribbean,8.3,2,2006
Brunei,Asia,South-Eastern Asia,0.5,2,2013
Bulgaria,Europe,Eastern Europe,1,69,2020
Burkina Faso,Africa,Western Africa,1.3,240,2017
Burundi,Africa,Eastern Africa,6.1,635,2016
Cape Verde,Africa,Western Africa,6.5,36,2020
Cambodia,Asia,South-Eastern Asia,1.8,268,2011
Cameroon,Africa,Middle Africa,1.4,341,2017
Canada,Americas,Northern America,2,743,2020
Cayman Islands,Americas,Caribbean,8.2,5,2014
Central African Republic,Africa,Middle Africa,20.1,913,2016
Channel Islands,Europe,Northern Europe,0,0,2010
Chile,Americas,South America,4.8,926,2020
China,Asia,Eastern Asia,0.5,7525,2018
Colombia,Americas,South America,22.6,11520,2020
Costa Rica,Americas,Central America,11.2,570,2020
Croatia,Europe,Southern Europe,1,39,2020
Cuba,Americas,Caribbean,5,572,2016
Curaçao,Americas,Caribbean,19,26,2007
Cyprus,Asia,Western Asia,1.2,15,2020
Czech Republic,Europe,Eastern Europe,0.7,77,2020
Denmark,Europe,Northern Europe,1,55,2020
Dominica,Americas,Caribbean,20.8,15,2020
Dominican Republic,Americas,Caribbean,8.9,961,2020
Ecuador,Americas,South America,7.8,1372,2020
Egypt,Africa,Northern Africa,2.6,2207,2012
El Salvador,Americas,Central America,37.2,2398,2019
England and Wales,Europe,Northern Europe,1.2,726,2017
Estonia,Europe,Northern Europe,3.2,42,2020
Eswatini,Africa,Southern Africa,11.6,130,2017
Ethiopia,Africa,Eastern Africa,8.8,8153,2012
Finland,Europe,Northern Europe,1.6,91,2020
France,Europe,Western Europe,1.3,879,2020
French Guiana,Americas,South America,13.2,30,2009
Georgia,Asia,Western Asia,1.9,77,2019
Germany,Europe,Western Europe,0.8,782,2020
Ghana,Africa,Western Africa,2.1,609,2017
Gibraltar,Europe,Southern Europe,3,1,2010
Greece,Europe,Southern Europe,0.8,78,2020
Greenland,Americas,Northern America,5.3,3,2016
Grenada,Americas,Caribbean,12.4,14,2020
Guadeloupe,Americas,Caribbean,5.8,23,2016
Guatemala,Americas,Central America,17.5,3129,2020
Guinea-Bissau,Africa,Western Africa,1.1,21,2017
Guyana,Americas,South America,20,157,2020
Haiti,Americas,Caribbean,6.7,743,2018
Holy See,Europe,Southern Europe,0,0,2015
Honduras,Americas,Central America,36.3,3598,2020
Hong Kong,Asia,Eastern Asia,0.3,22,2020
Hungary,Europe,Eastern Europe,0.8,80,2020
Iceland,Europe,Northern Europe,1.5,5,2020
India,Asia,Southern Asia,3,40651,2020
Indonesia,Asia,South-Eastern Asia,0.4,1150,2018
Iran,Asia,Southern Asia,2.2,1795,2018
Iraq,Asia,Western Asia,10.1,3339,2013
Iraq (excluding Kurdistan),Asia,Western Asia,10.1,3029,2014
Ireland,Europe,Northern Europe,0.7,34,2020
Isle of Man,Europe,Northern Europe,0,0,2016
Israel,Asia,Western Asia,1.5,125,2019
Italy,Europe,Southern Europe,0.5,285,2020
Jamaica,Americas,Caribbean,44.7,1323,2020
Japan,Asia,Eastern Asia,0.3,318,2020
Jordan,Asia,Western Asia,1,99,2020
Kazakhstan,Asia,Central Asia,3.2,606,2020
Kenya,Africa,Eastern Africa,4,2151,2020
Kosovo,Europe,Southern Europe,2.4,44,2018
Kurdistan Region (Iraq),Asia,Western Asia,2.2,111,2013
Kuwait,Asia,Western Asia,1.8,61,2012
Kyrgyzstan,Asia,Central Asia,1.7,114,2020
Latvia,Europe,Northern Europe,2.6,49,2020
Lebanon,Asia,Western Asia,1.9,128,2020
Lesotho,Africa,Southern Africa,43.6,897,2015
Liberia,Africa,Western Africa,3.3,135,2012
Liechtenstein,Europe,Western Europe,2.6,1,2020
Lithuania,Europe,Northern Europe,3.7,101,2020
Luxembourg,Europe,Western Europe,0.2,1,2020
Macau,Asia,Eastern Asia,0.3,2,2020
Malawi,Africa,Eastern Africa,1.8,279,2012
Malaysia,Asia,South-Eastern Asia,2.1,627,2013
Maldives,Asia,Southern Asia,0.6,3,2019
Malta,Europe,Southern Europe,1.6,7,2020
Martinique,Americas,Caribbean,2.8,11,2009
Mauritius,Africa,Eastern Africa,2.8,35,2020
Mayotte,Africa,Eastern Africa,5.9,12,2009
Mexico,Americas,Central America,28.4,36579,2020
Monaco,Europe,Western Europe,0,0,2015
Mongolia,Asia,Eastern Asia,6,196,2020
Montenegro,Europe,Southern Europe,2.9,18,2020
Montserrat,Americas,Caribbean,20.3,1,2012
Morocco,Africa,Northern Africa,1.3,487,2020
Mozambique,Africa,Eastern Africa,3.5,849,2011
Myanmar,Asia,South-Eastern Asia,28.4,15299,2021
Namibia,Africa,Southern Africa,11.9,303,2020
Nepal,Asia,Southern Asia,2.3,627,2016
Netherlands,Europe,Western Europe,0.6,107,2020
New Zealand,Oceania,"Australia, New Zealand",2.6,126,2019
Nicaragua,Americas,Central America,7.9,515,2019
Niger,Africa,Western Africa,4.4,788,2012
Nigeria,Africa,Western Africa,22,44200,2019
Northern Ireland,Europe,Northern Europe,1.2,23,2018
Norway,Europe,Northern Europe,0.6,31,2020
Oman,Asia,Western Asia,0.3,14,2020
Pakistan,Asia,Southern Asia,3.8,8490,2020
Panama,Americas,Central America,11.1,480,2020
Paraguay,Americas,South America,6.7,481,2020
Peru,Americas,South America,7.7,2452,2018
Philippines,Asia,South-Eastern Asia,4.4,4764,2019
Poland,Europe,Eastern Europe,0.7,268,2020
Portugal,Europe,Southern Europe,0.9,93,2020
Puerto Rico,Americas,Caribbean,18.5,529,2020
Qatar,Asia,Western Asia,0.4,12,2020
South Korea,Asia,Eastern Asia,0.6,308,2020
Moldova,Europe,Eastern Europe,2.3,93,2020
North Macedonia,Europe,Southern Europe,1.2,24,2019
Réunion,Africa,Eastern Africa,1.8,15,2009
Romania,Europe,Eastern Europe,1.5,281,2020
Russia,Europe,Eastern Europe,7.3,10697,2020
Rwanda,Africa,Eastern Africa,2.6,293,2015
Saint Helena,Africa,Western Africa,0,0,2009
Saint Kitts and Nevis,Americas,Caribbean,18.8,10,2020
Saint Lucia,Americas,Caribbean,28.3,52,2020
Saint Martin (French part),Americas,Caribbean,27.7,10,2016
Saint Pierre and Miquelon,Americas,Northern America,15.8,1,2009
Saint Vincent and the Grenadines,Americas,Caribbean,17.2,19,2019
San Marino,Europe,Southern Europe,0,0,2011
São Tomé and Príncipe,Africa,Middle Africa,3.3,6,2011
Saudi Arabia,Asia,Western Asia,0.8,285,2019
Scotland,Europe,Northern Europe,1.1,61,2018
Senegal,Africa,Western Africa,0.3,39,2015
Serbia,Europe,Southern Europe,1,89,2020
Seychelles,Africa,Eastern Africa,10.2,10,2019
Sierra Leone,Africa,Western Africa,1.7,124,2015
Singapore,Asia,South-Eastern Asia,0.2,10,2020
Slovakia,Europe,Eastern Europe,1.2,63,2020
Slovenia,Europe,Southern Europe,0.5,11,2020
South Africa,Africa,Southern Africa,33.5,19846,2020
South Sudan,Africa,Eastern Africa,14.9,1504,2012
Spain,Europe,Southern Europe,0.6,298,2020
Sri Lanka,Asia,Southern Asia,3.5,742,2019
Palestine,Asia,Western Asia,1,48,2020
Sudan,Africa,Northern Africa,5.1,1702,2008
Suriname,Americas,South America,9.4,55,2020
Sweden,Europe,Northern Europe,1.2,124,2020
Switzerland,Europe,Western Europe,0.5,47,2020
Syria,Asia,Western Asia,0.9,149,2018
Taiwan,Asia,Eastern Asia,0.8,192,2015
Tajikistan,Asia,Central Asia,0.9,87,2020
Thailand,Asia,South-Eastern Asia,2.6,1787,2017
East Timor,Asia,South-Eastern Asia,4.1,49,2015
Trinidad and Tobago,Americas,Caribbean,38.6,538,2019
Tunisia,Africa,Northern Africa,4.8,562,2020
Turkey,Asia,Western Asia,2.5,2095,2020
Turkmenistan,Asia,Central Asia,4.2,203,2006
Turks and Caicos Islands,Americas,Caribbean,5.7,2,2014
Uganda,Africa,Eastern Africa,9.7,4460,2020
Ukraine,Europe,Eastern Europe,6.2,2751,2017
United Arab Emirates,Asia,Western Asia,0.7,64,2019
United Kingdom,Europe,Northern Europe,1.1,755,2018
Tanzania,Africa,Eastern Africa,6.5,3439,2016
United States,Americas,Northern America,6.5,21570,2020
U.S. Virgin Islands,Americas,Caribbean,49.3,52,2012
Uruguay,Americas,South America,9.7,337,2020
Uzbekistan,Asia,Central Asia,1.2,396,2019
Venezuela,Americas,South America,36.7,10598,2018
Vietnam,Asia,South-Eastern Asia,1.5,1358,2011
Yemen,Asia,Western Asia,6.8,1703,2013
Zambia,Africa,Eastern Africa,5.4,853,2015
Zimbabwe,Africa,Eastern Africa,7.5,981,2012
